source_row_number,field_name,issue_code,raw_value,detail
997,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
998,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
998,School,school_missing,,School is blank in the source export
1010,Loans,large_monetary_value_review,"Reason: House Loan
Source: المؤسسة العامة للإسكان
Mortgaged Asset: Byblos Bank
Start Date: 2016-08-27
End Date: 2031-08-27
Total Amount: 225,000,000 L.L
Monthly Payment: 1,250,000 L.L
Remaining Balance: الفوائد على قيمة القرض
Remaining Years: حسب تحديد الفوائد وقيمتها وطريقة دفعها",loans_total_amount=225000000.0; currency_signal=lbp; currency_guess=lbp
1011,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
1011,School,school_missing,,School is blank in the source export
1016,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1016,School,school_missing,,School is blank in the source export
1022,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
1022,School,school_missing,,School is blank in the source export
1029,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1029,School,school_missing,,School is blank in the source export
1033,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1033,School,school_missing,,School is blank in the source export
1036,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
1036,School,school_missing,,School is blank in the source export
1037,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
1037,School,school_missing,,School is blank in the source export
1039,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
1039,School,school_missing,,School is blank in the source export
1039,School,school_missing_undergraduate,,School is blank for an undergraduate application
1047,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
1047,School,school_missing,,School is blank in the source export
1047,School,school_missing_undergraduate,,School is blank for an undergraduate application
1049,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
1049,School,school_missing,,School is blank in the source export
1049,School,school_missing_undergraduate,,School is blank for an undergraduate application
1058,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'committee_early_applications'
